날짜,KRX_OF
2022-06-09,743.148355460789
2022-06-10,733.6269695407884
2022-06-13,701.9604172168392
2022-06-14,694.8033493877999
2022-06-15,678.5902368599587
2022-06-16,686.2624720633255
2022-06-17,685.6335034511433
2022-06-20,668.6317718920922
2022-06-21,675.4352495551631
2022-06-22,656.874892755952
2022-06-23,642.7863888422937
2022-06-24,664.7340756582939
2022-06-27,675.8949145827073
2022-06-28,671.0884227170685
2022-06-29,658.1342990799491
2022-06-30,643.914059125403
2022-07-01,646.428820910415
2022-07-04,638.3489595979224
2022-07-05,657.8734157342941
2022-07-06,637.3045631016837
2022-07-07,646.932403684568
2022-07-08,650.7533316146896
2022-07-11,648.1175229532656
2022-07-12,639.3036679140615
2022-07-13,645.1112689748896
2022-07-14,634.6082404769871
2022-07-15,627.5232929557143
2022-07-18,642.1441629838996
2022-07-19,642.4786612550257
2022-07-20,652.6880232981924
2022-07-21,657.8944825115542
2022-07-22,651.0744751211324
2022-07-25,658.139868807352
2022-07-26,658.3859546252696
2022-07-27,664.9677538270197
2022-07-28,667.2476453821646
2022-07-29,678.1963092350551
2022-08-01,673.2730371570102
2022-08-02,664.465238884864
2022-08-03,676.3185866929314
2022-08-04,682.5334318259218
2022-08-05,693.1862405718981
2022-08-08,699.4859172094309
2022-08-09,697.2770054288158
2022-08-10,686.2074049006086
2022-08-11,703.529108051647
2022-08-12,699.5480764316056
2022-08-16,700.1242643226808
2022-08-17,708.6513867197733
2022-08-18,706.488799922171
2022-08-19,709.5755258120585
2022-08-22,694.454636811014
2022-08-23,684.8060626793742
2022-08-24,678.4546548957358
2022-08-25,685.4310653183333
2022-08-26,685.4101244569205
2022-08-29,668.5979169123945
2022-08-30,677.1339379935354
2022-08-31,686.0950212143234
2022-09-01,667.021425942012
2022-09-02,658.4436333442975
2022-09-05,657.9383164405253
2022-09-06,661.3115787392314
2022-09-07,648.2714233026145
2022-09-08,660.4046272693406
2022-09-13,675.9650715843367
2022-09-14,666.0816219953615
2022-09-15,664.7558994748299
2022-09-16,654.9150476110852
2022-09-19,645.7581650535535
2022-09-20,643.1843618134678
2022-09-21,636.8074624509576
2022-09-22,632.3423385757378
2022-09-23,622.1231429876505
2022-09-26,599.0012724363223
2022-09-27,590.0875194734353
2022-09-28,580.8296631350208
2022-09-29,578.1084644559198
2022-09-30,578.5300731931972
2022-10-04,599.7577396375178
2022-10-05,598.1556222750313
2022-10-06,602.588849198358
2022-10-07,606.5255953750893
2022-10-11,586.8697489828542
2022-10-12,591.7781497860541
2022-10-13,587.0083375616755
2022-10-14,602.5301595016208
2022-10-17,614.8437145425966
2022-10-18,622.6989343332045
2022-10-19,614.10806503454
2022-10-20,604.8244717051585
2022-10-21,594.3710277506392
2022-10-24,599.1499381591171
2022-10-25,593.0112312030207
2022-10-26,595.3577742500969
2022-10-27,608.1257026483842
2022-10-28,593.5573147117896
2022-10-31,592.4892600455418
2022-11-01,589.1042279819507
2022-11-02,595.9870590245124
2022-11-03,594.1723106857186
2022-11-04,606.8272547544985
2022-11-07,614.547951231644
2022-11-08,630.782966320422
2022-11-09,651.1937055476005
2022-11-10,646.995973344436
2022-11-11,660.0864477966678
2022-11-14,665.7934554690639
2022-11-15,669.2343086439205
2022-11-16,659.8559588343015
2022-11-17,648.6348945126335
2022-11-18,645.5613238018245
2022-11-21,629.4356596870031
2022-11-22,673.5830303493792
2022-11-23,689.5859278474205
2022-11-24,688.7370590058198
2022-11-25,692.1781574671362
2022-11-28,677.8654254033659
2022-11-29,686.0957245251979
2022-11-30,702.0548204653359
2022-12-01,726.189849947975
2022-12-02,714.445470382155
2022-12-05,703.0597344002585
2022-12-06,699.225779502098
2022-12-07,688.3530738944851
2022-12-08,687.6290957932406
2022-12-09,687.4390398201461
2022-12-12,693.6032737815158
2022-12-13,698.025433208479
2022-12-14,699.2221128840769
2022-12-15,686.8259385764603
2022-12-16,694.0218048791119
