iter	Passed	Remaining
630	5974	3494
631	5983	3484
632	5993	3474
633	6001	3464
634	6010	3454
635	6018	3444
636	6026	3434
637	6035	3424
638	6043	3414
639	6051	3404
640	6060	3394
641	6068	3384
642	6077	3374
643	6086	3364
644	6094	3354
645	6103	3344
646	6111	3334
647	6121	3325
648	6129	3314
649	6138	3305
650	6146	3295
651	6155	3285
652	6163	3275
653	6172	3265
654	6180	3255
655	6189	3245
656	6198	3235
657	6207	3226
658	6215	3216
659	6224	3206
660	6232	3196
661	6241	3186
662	6251	3177
663	6261	3168
664	6270	3158
665	6280	3149
666	6288	3139
667	6297	3130
668	6306	3120
669	6315	3110
670	6324	3100
671	6333	3091
672	6341	3081
673	6351	3072
674	6361	3062
675	6370	3053
676	6378	3043
677	6387	3033
678	6396	3023
679	6405	3014
680	6413	3004
681	6421	2994
682	6430	2984
683	6439	2974
684	6449	2965
685	6457	2955
686	6465	2945
687	6475	2936
688	6486	2927
689	6497	2919
690	6507	2909
691	6515	2899
692	6523	2890
693	6532	2880
694	6540	2870
695	6548	2860
696	6557	2850
697	6583	2848
698	6613	2848
699	6642	2846
700	6682	2850
701	6738	2860
702	6793	2870
703	6849	2879
704	6908	2890
705	6991	2911
706	7084	2935
707	7186	2964
708	7315	3002
709	7459	3046
710	7583	3082
711	7720	3122
712	7840	3155
713	7933	3177
714	8013	3194
715	8111	3217
716	8212	3241
717	8320	3267
718	8414	3288
719	8548	3324
720	8637	3342
721	8709	3353
722	8789	3367
723	8842	3370
724	8896	3374
725	8947	3377
726	9014	3385
727	9066	3387
728	9123	3391
729	9179	3395
730	9234	3398
731	9287	3400
732	9343	3403
733	9399	3406
734	9458	3410
735	9529	3418
736	9611	3429
737	9673	3434
738	9728	3435
739	9978	3505
740	10075	3521
741	10136	3524
742	10203	3529
743	10257	3529
744	10314	3530
745	10366	3529
746	10419	3528
747	10522	3545
748	10599	3551
749	10658	3552
750	10715	3552
751	10791	3559
752	10863	3563
753	10935	3567
754	11027	3578
755	11132	3593
756	11244	3609
757	11338	3619
758	11408	3622
759	11555	3649
760	11877	3730
761	12102	3780
762	12321	3827
763	12733	3933
764	13273	4077
765	13808	4218
766	14333	4354
767	14965	4520
768	15541	4668
769	15935	4760
770	16367	4861
771	17014	5024
772	17561	5157
773	18023	5262
774	18651	5414
775	19288	5567
776	19794	5680
777	20088	5732
778	20335	5769
779	20744	5851
780	21223	5951
781	21550	6007
782	21934	6079
783	22239	6127
784	22719	6222
785	23053	6276
786	23531	6368
787	24444	6576
788	25351	6779
789	26042	6922
790	26605	7029
791	27267	7161
792	27826	7263
793	28199	7316
794	28560	7364
795	29041	7442
796	29907	7617
797	30404	7696
798	31012	7801
799	31395	7848
800	31535	7834
801	31555	7790
802	31574	7746
803	31584	7699
804	31594	7653
805	31603	7606
806	31613	7560
807	31623	7514
808	31633	7468
809	31643	7422
810	31651	7376
811	31660	7330
812	31668	7284
813	31677	7238
814	31685	7192
815	31693	7146
816	31702	7101
817	31710	7055
818	31719	7009
819	31727	6964
820	31736	6919
821	31745	6874
822	31753	6829
823	31762	6784
824	31770	6739
825	31779	6694
826	31787	6649
827	31794	6604
828	31801	6559
829	31809	6515
830	31816	6470
831	31824	6426
832	31831	6381
833	31839	6337
834	31847	6293
835	31855	6249
836	31864	6205
837	31871	6161
838	31879	6117
839	31887	6073
840	31894	6030
841	31902	5986
842	31910	5942
843	31918	5899
844	31926	5856
845	31934	5813
846	31941	5769
847	31949	5726
848	31956	5683
849	31964	5640
850	31972	5597
851	31981	5555
852	31989	5512
853	31998	5470
854	32006	5428
855	32014	5385
856	32022	5343
857	32029	5300
858	32038	5258
859	32045	5216
860	32053	5174
861	32061	5132
862	32071	5091
863	32077	5049
864	32085	5007
865	32092	4965
866	32100	4924
867	32108	4882
868	32116	4841
869	32124	4800
870	32133	4759
871	32140	4717
872	32148	4676
873	32156	4635
874	32163	4594
875	32170	4553
876	32178	4513
877	32185	4472
878	32193	4431
879	32200	4391
880	32208	4350
881	32216	4310
882	32223	4269
883	32231	4229
884	32239	4189
885	32248	4149
886	32256	4109
887	32264	4069
888	32273	4029
889	32281	3989
890	32288	3950
891	32295	3910
892	32303	3870
893	32311	3831
894	32318	3791
895	32325	3752
896	32331	3712
897	32339	3673
898	32346	3634
899	32353	3594
900	32361	3555
901	32368	3516
902	32375	3477
903	32382	3438
904	32389	3400
905	32397	3361
906	32403	3322
907	32411	3284
908	32420	3245
909	32429	3207
910	32437	3169
911	32445	3130
912	32451	3092
913	32459	3054
914	32466	3015
915	32472	2977
916	32479	2939
917	32487	2901
918	32495	2864
919	32503	2826
920	32511	2788
921	32519	2751
922	32527	2713
923	32536	2676
924	32544	2638
925	32553	2601
926	32560	2564
927	32569	2526
928	32577	2489
929	32585	2452
930	32592	2415
931	32600	2378
932	32608	2341
933	32616	2304
934	32625	2268
935	32633	2231
936	32642	2194
937	32651	2158
938	32659	2121
939	32668	2085
940	32677	2048
941	32685	2012
942	32694	1976
943	32702	1940
944	32710	1903
945	32719	1867
946	32727	1831
947	32735	1795
948	32742	1759
949	32749	1723
950	32757	1687
951	32765	1652
952	32771	1616
953	32779	1580
954	32785	1544
955	32793	1509
956	32800	1473
957	32806	1438
958	32814	1402
959	32821	1367
960	32828	1332
961	32836	1297
962	32844	1261
963	32853	1226
964	32861	1191
965	32869	1156
966	32877	1121
967	32885	1087
968	32893	1052
969	32902	1017
970	32911	982
971	32921	948
972	32930	913
973	32939	879
974	32947	844
975	32956	810
976	32966	776
977	32976	741
978	32985	707
979	32994	673
980	33003	639
981	33011	605
982	33020	571
983	33030	537
984	33039	503
985	33048	469
986	33057	435
987	33067	401
988	33078	367
989	33090	334
990	33102	300
991	33114	267
992	33125	233
993	33136	200
994	33146	166
995	33155	133
996	33164	99
997	33172	66
998	33180	33
999	33188	0
